"distance","filename","i"
0.58591088556865,"spec-5328-55982-0218.fits",905
0.589761871470132,"spec-1353-53083-0579.fits",519
0.597633891208156,"spec-5301-55987-0190.fits",88
0.605632683939998,"spec-2557-54178-0009.fits",94
0.619566025224018,"spec-7089-56661-0076.fits",61
0.623291058720471,"spec-2261-53612-0404.fits",222
0.643441270331088,"spec-2382-54169-0116.fits",73
0.67138031449834,"spec-6439-56358-0432.fits",76
0.671537038403188,"spec-7235-56603-0338.fits",68
0.677650664330378,"spec-7255-56597-0896.fits",158
0.681373556119492,"spec-6053-56091-0724.fits",961
0.691310219258898,"spec-2620-54339-0453.fits",209
0.69319861860944,"spec-1923-53319-0383.fits",210
0.697031749347518,"spec-6161-56238-0336.fits",959
0.709838456601309,"spec-1757-53083-0437.fits",207
0.709937531353112,"spec-6512-56567-0742.fits",899
0.711958808222023,"spec-3808-55513-0602.fits",43
0.723315393977089,"spec-5015-55707-0294.fits",214
0.729977062905894,"spec-2913-54526-0229.fits",62
0.731205640160939,"spec-5324-55947-0886.fits",827
0.737472616338799,"spec-7301-56746-0454.fits",343
0.738725005646512,"spec-1728-53228-0337.fits",402
0.748335982099202,"spec-1301-52976-0123.fits",222
0.751551741082119,"spec-1311-52765-0413.fits",67
0.755851919543498,"spec-2124-53770-0113.fits",136
0.756058715533649,"spec-0935-52643-0464.fits",979
0.756704343578606,"spec-2179-53555-0564.fits",969
0.757802722935166,"spec-7258-56605-0453.fits",965
0.760718638721621,"spec-1568-53169-0578.fits",462
0.761066447120346,"spec-1672-53460-0251.fits",446
0.762953953499439,"spec-2359-53826-0199.fits",227
0.765436577071595,"spec-6064-56097-0818.fits",614
0.767199377370777,"spec-2188-54595-0112.fits",63
0.76852390334309,"spec-0995-52731-0137.fits",146
0.771967898184582,"spec-1397-53119-0412.fits",964
0.776589815187926,"spec-5027-56218-0605.fits",958
0.777356585625027,"spec-1997-53442-0041.fits",155
0.777993806247877,"spec-5451-56010-0798.fits",996
0.778793091972958,"spec-2422-54096-0519.fits",454
0.779432331181251,"spec-0509-52374-0631.fits",219
0.7814676095114,"spec-1959-53440-0382.fits",377
0.782272805648738,"spec-6125-56273-0414.fits",1000
0.783023400794146,"spec-2118-53820-0538.fits",120
0.783652913771399,"spec-0314-51641-0211.fits",453
0.786686628019634,"spec-1232-52731-0467.fits",60
0.789600563553706,"spec-1105-52937-0368.fits",252
0.790097186892406,"spec-0991-52707-0359.fits",994
0.791718043819602,"spec-1229-52723-0306.fits",368
0.791894661107394,"spec-0632-52071-0263.fits",517
0.793354030237535,"spec-1081-52531-0173.fits",982
0.796815562714576,"spec-1054-52516-0291.fits",1000
0.79877804564555,"spec-1719-53876-0095.fits",81
0.806571789491257,"spec-5331-55976-0504.fits",360
0.808343227127571,"spec-0750-52235-0328.fits",985
0.81663917842337,"spec-1788-54468-0050.fits",372
0.820093488978909,"spec-5454-56015-0641.fits",366
0.825415520843701,"spec-6406-56330-0456.fits",80
0.828289668176245,"spec-2161-53878-0604.fits",135
0.837875719791857,"spec-0924-52409-0636.fits",233
0.857396984388605,"spec-1026-52558-0067.fits",60
0.857464599717547,"spec-6466-56310-0992.fits",969
0.858912327548607,"spec-1626-53472-0286.fits",198
0.865979345827646,"spec-6465-56279-0857.fits",961
0.867165226423741,"spec-2634-54110-0244.fits",224
0.870100823765985,"spec-6049-56091-0278.fits",406
0.870690137810591,"spec-1382-53115-0469.fits",455
0.87555387004523,"spec-5111-55840-0716.fits",963
0.883322871178226,"spec-3755-55504-0496.fits",716
0.88339739554536,"spec-4242-55476-0780.fits",237
0.891464349605197,"spec-6754-56414-0896.fits",975
0.896204825963364,"spec-4611-55603-0878.fits",377
0.897681646811496,"spec-4494-55569-0447.fits",980
0.898105251471751,"spec-2356-53786-0499.fits",25
0.898539445794165,"spec-4801-55653-0130.fits",978
0.902096951158736,"spec-0390-51900-0010.fits",39
0.909881945930693,"spec-6008-56093-0606.fits",37
0.91187409424277,"spec-7257-56658-0239.fits",378
0.912767880624704,"spec-5047-55833-0214.fits",162
0.916725573124538,"spec-1685-53463-0384.fits",844
0.918470377032494,"spec-5972-56334-0558.fits",82
0.919956607868725,"spec-4176-55682-0865.fits",490
0.92059360240525,"spec-4870-55923-0229.fits",913
0.925312328445061,"spec-1437-53046-0166.fits",216
0.931442248370305,"spec-5336-55957-0105.fits",960
0.932585680478064,"spec-4391-55866-0036.fits",537
0.934176423223318,"spec-5397-55944-0285.fits",946
0.934335060591121,"spec-7424-57160-0977.fits",592
0.935908395093389,"spec-4058-55358-0634.fits",627
0.940702476933112,"spec-7395-57131-0208.fits",483
0.940939989604186,"spec-5793-56337-0530.fits",543
0.941449070770849,"spec-6447-56362-0485.fits",454
0.941530741051477,"spec-5302-55896-0613.fits",417
0.94186241599645,"spec-6145-56266-0755.fits",913
0.942757229430489,"spec-6803-56402-0747.fits",800
0.944061819261899,"spec-6461-56329-0925.fits",584
0.946843074743655,"spec-4347-55830-0615.fits",599
0.950402859805603,"spec-4039-55648-0759.fits",794
0.951090908343555,"spec-6656-56624-0929.fits",425
0.95113130466876,"spec-4464-55866-0887.fits",861
0.954646366139021,"spec-6620-56368-0501.fits",998
